书名,作者,出版社,ISBN,页数,出版年,定价
犯罪心理研究,李玫瑾,2010/8/1,9787565301308,259,2010/8/1,40.00元
维罗妮卡决定去死,[巴西]保罗·柯艾略,南海出版公司,9787544247245,238,2010/8/1,22.00元
24个比利,[美]丹尼尔·凯斯,中信出版集团,9787508691664,448,2018/11/1,48
谈判,[英]盖温·肯尼迪,民主与建设出版社,9787513918930,352,2018/4/1,45.00元
理解人性,阿尔弗雷德·阿德勒,国际文化出版公司,9787801057389,224,2007/3/1,22.00元
性经验史,[瑞士]皮亚杰,世界图书出版公司北京公司,9787208057524,509,2005-9-1,42.00元
做出好决定,[美]斯蒂芬·P·罗宾斯,北京联合出版公司·后浪出版公司,9787550270701,168,2016/5/1,36.00元
认知、脑与意识,BernardJ.Baars/NicoleM.Gage,科学出版社,9787030222213,546,2008/8/1,280.00元
人生模式,阳志平,电子工业出版社,9787121371219,348,2019/9/1,58
千面英雄,[美]约瑟夫·坎贝尔,浙江人民出版社,9787213069475,426,2016/2/1,99.90元
捕捉儿童敏感期,孙瑞雪,中国妇女出版社,9787512705739,240,2013/4/1,38.00元
人性能达到的境界,[美]亚伯拉罕·马斯洛,世界图书出版公司北京公司,9787510071799,381,2014/7/1,CNY69.80
多向思考者,[法]克莉司德·布提可南（ChristelPetitcollin）,北京联合出版公司,9787550266049,272,2018/9/1,45.00元
踏上心灵幽径,[美]查尔斯·哈奈尔,广西师范大学出版社,9787807091707,349,2009-5-1,38.00元
高难度谈话,[美]道格拉斯·斯通/布鲁斯·佩顿/希拉·汉,中国城市出版社,9787507423587,284,2011/2/1,38.00元
变态心理学（第9版）,[美]劳伦·B.阿洛伊/约翰·H.雷斯金德/玛格丽特·J.玛诺斯,上海社会科学院出版社,9787806816929,880,2005/7/1,86.00元
阿加特,[美]哈罗德·伊罗生,深圳报业集团出版社,9787559634108,168,2019-9-1,48
认知,【美】赫伯特•西蒙(HerbertA.Simon),中国人民大学出版社,9787300273921,275,2019/12/1,69.00元
社交天性,[美]马修·利伯曼（MatthewD.Lieberman）,浙江人民出版社,9787213072864,331,2016/6/1,69.9
催眠师手记,高铭,中信出版社,9787508640440,360,2013/7/1,36.00元
身心合一的奇迹力量,[美]提摩西•加尔韦(W.TimothyGallwey),华夏出版社,9787508073231,232,2013/1/1,36.80元
诱惑的艺术,(法)米歇尔.福柯,北京联合出版公司,9787801867421,366,2007-9-1,38.00元
如何说孩子才会听，怎么听孩子才肯说,[美]阿黛尔·法伯伊莱恩·玛兹丽施,中央编译出版社,9787802115279,274,2007/11/1,26.80元
人的自我寻求,【美】罗洛·梅,中国人民大学出版社,9787300177397,224,2013/9/1,48
